key,name,phase,ingredients,bonus,codex
sunspike_sermon,Sunspike Sermon,P1,"Chassis(""sunspike_shotgun""); Element(Radiant); Part(""mech_bounce_fork"")",Damage(1.15); Pierce(1),A sermon best delivered at point-blank range.
nightmare_ledger,The Nightmare Ledger,P1,"Element(Void); Part(""mech_overclock""); Part(""relic_nyctian_eye"")",CritDamage(0.4),Nyctia keeps accounts. You are overdrawn.
conductors_requiem,Conductor's Requiem,EA,"Part(""tempestcore""); Part(""mech_arc_relay""); Part(""relic_stormcatcher"")","Chain(jumps: 1, range: 4.0, falloff: 0.7); ApplyStatus(status: Shock, chance: 0.1, stacks: 1, duration: 2.0)","The sky conducts, the horde performs, and nobody survives to applaud."
the_crowded_grave,The Crowded Grave,EA,"Part(""voidcore""); Part(""mech_sundering_payload""); Part(""relic_pyre_lung"")",Area(1.2); Damage(1.1),"Pull them close, bury them together. It saves on shovels."
compound_interest,Compound Interest,EA,"Chassis(""coinshooter""); Part(""gildcore""); Part(""relic_greedstone"")","Ricochet(bounces: 1, range: 6.0); ShardsOnKill(chance: 0.02)","Every coin comes back, and it brings friends."
writ_of_execution,Writ of Execution,EA,"Chassis(""seraph_lance""); Part(""dawncore""); Part(""relic_scale_of_judgement"")","DamageVsStatus(status: Mark, mult: 1.15); ApplyStatus(status: Mark, chance: 0.1, stacks: 1, duration: 4.0)","Signed in light, sealed in gold, served at the speed of law."
gaiaas_gallows,Gaiaa's Gallows,EA,"Part(""cairncore""); Part(""mech_impaler""); Part(""relic_pinning_stake"")","ApplyStatus(status: Root, chance: 0.1, stacks: 1, duration: 1.5); Damage(1.08)",The earth holds them still so that you can be thorough.
one_shot_one_grave,"One Shot, One Grave",EA,"Chassis(""longstrider_rail""); Part(""mech_deep_draw""); Part(""sigil_patient_death"")",DamageVsFullHp(1.2); Pierce(2),Ossian only ever needed one shot. The rest were for the audience.
the_godsbane_oath,The Godsbane Oath,EA,"Chassis(""godsbane_rifle""); Part(""mech_railspike""); Part(""relic_titanbreaker_wedge"")",Pierce(1); DamageVsElites(1.15),It killed a god once. It would very much like to do it again.
whip_of_the_heavens,Whip of the Heavens,EA,"Chassis(""stormlash""); Part(""stormcore""); Part(""mech_arc_relay"")","Chain(jumps: 1, range: 4.0, falloff: 0.6); FireRate(1.05)",Selene cracked it once. The horde is still flinching.
nyctias_wager,Nyctia's Wager,EA,"Part(""gloamcore""); Part(""relic_crooked_knucklebone""); Part(""sigil_loaded_dice"")",CritDamage(0.3); Pierce(1),"Nyctia plays with crooked bones and loaded dice. So do you, and the house is losing."
the_arsenal_wakes,The Arsenal Wakes,EA,"Chassis(""wraith_bow""); Part(""mech_quickdraw_string""); Part(""relic_sentry_seed"")",CritChance(0.06); ChargeTime(0.9),Every loosed arrow drafts another archer. Thessaly calls it recruitment.
the_kiln_mouth,The Kiln Mouth,EA,"Chassis(""bellowfire_projector""); Part(""kilncore""); Part(""relic_ashen_covenant"")",Area(1.15); Damage(1.1),"The forge exhales, and the floor becomes the forge."
the_red_reaping,The Red Reaping,EA,"Part(""barbcore""); Part(""mech_razor_halo""); Part(""relic_salt_the_wound"")","Lifesteal(0.02); ApplyStatus(status: Bleed, chance: 0.1, stacks: 1, duration: 3.0)","Gaiaa's blood-law: what you spill, you keep."
pyras_fireworks,Pyra's Fireworks,EA,"Element(Flame); Part(""mech_sundering_payload""); Part(""relic_gyrestone"")","Area(1.1); ApplyStatus(status: Burn, chance: 0.2, stacks: 1, duration: 3.0)","Pyra loved a celebration, especially somebody else's funeral."
the_thundering_heads,The Thundering Heads,EA,"Element(Storm); Part(""mech_hydra_volley""); Part(""relic_stormglass_phial"")","ApplyStatus(status: Shock, chance: 0.1, stacks: 1, duration: 2.0); Damage(1.05)","Three more heads, one storm, and a horde with nowhere left to run."
the_final_hour,The Final Hour,EA,"Chassis(""pendulum_repeater""); Part(""mech_resounding_vault""); Part(""relic_epitaph_engine"")","Doomstack(stacks: 12, burst: 1.5); FireRate(1.05)",Tick. Tick. Tick. Tick. Tick. Tick. Tick. Tick. Tick. Tick. Tick. Boom.
the_long_mercy,The Long Mercy,EA,"Part(""ironcore""); Part(""mech_railspike""); Part(""relic_misericorde"")",Pierce(1); Damage(1.08),Mercy is a long blade and a short queue.
the_anvil_waltz,The Anvil Waltz,EA,"Chassis(""anvil_gauntlets""); Part(""mech_whirling_anvils"")",Knockback(1.3); DamageTaken(0.92),Brax learned to dance. The floor did not survive the lesson.
the_seraphic_schism,The Seraphic Schism,EA,"Part(""halocore""); Part(""mech_cleaving_fork"")",Homing(turn_rate: 60.0); Damage(1.1),"The light finds you, then argues with itself over how many ways to end you."
the_kindling_doctrine,The Kindling Doctrine,EA,"Part(""embercore""); Part(""relic_ashen_covenant"")","ApplyStatus(status: Burn, chance: 0.15, stacks: 1, duration: 3.0); Damage(1.05)","Pyra's first law: what burns, burns more. Her second law is the first law, louder."
litany_of_lightning,Litany of Lightning,EA,"Part(""stormcore""); Part(""mech_ricochet_rosary"")","Chain(jumps: 1, range: 4.5, falloff: 0.65); Damage(1.05)","Every bounce a verse, every arc an amen. The congregation does not stay for the sermon."
hound9s_litter,Hound-9's Litter,EA,"Chassis(""serpent_smg""); Part(""relic_hound9_spares"")",CritChance(0.05); FireRate(1.05),"Hound-9 insists they are not puppies. They are absolutely puppies, and every one is armed."
the_tolling_hour,The Tolling Hour,EA,"Part(""mech_gatling_hymn""); Part(""relic_funeral_bell"")","Doomstack(stacks: 5, burst: 0.6); FireRate(1.05)","Five hits, one funeral. Do the arithmetic, then start digging."
one_foot_in_the_pyre,One Foot in the Pyre,EA,"Part(""mech_heavy_hand""); Part(""relic_brink_coin"")","Lifesteal(0.02); DamageWhileLowHp(threshold: 0.3, mult: 1.15)","Umbra-Rex's favourite stance: one foot in the grave, the other on the horde's neck."
the_smiting_line,The Smiting Line,EA,"Part(""dawncore""); Part(""mech_needle_ray"")",CritChance(0.06); CritDamage(0.2),"Seraphel never raised her voice. She raised a line of light, and the line was final."
murmuration_of_murrain,Murmuration of Murrain,EA,"Part(""blightcore""); Part(""mech_seeker_swarm"")","Chain(jumps: 1, range: 3.0, falloff: 0.55); Damage(1.05)",A flock of sickness. It knows where the horde lives.
morwenns_undertow,Morwenn's Undertow,EA,"Part(""miasmacore""); Part(""relic_razorwake"")","Trail(duration: 1.5, dps: 0.1, slow: 0.1); Damage(1.05)",Behind every shot runs a sick tide. Morwenn calls it the scenic route.
quagmire_liturgy,Quagmire Liturgy,EA,"Chassis(""gravemaw_mortar""); Part(""relic_tarpit_heart"")",Area(1.2); Damage(1.05),"Gravemaw spits, the ground swallows, and the horde learns to stand still forever."
the_bleeding_halo,The Bleeding Halo,EA,"Part(""mech_razor_halo""); Part(""relic_bloodletter"")","ApplyStatus(status: Bleed, chance: 0.1, stacks: 1, duration: 3.0); MoveSpeed(1.05)","Stand still and they circle. Run and they circle faster. Someone is bleeding, and it is not you."
the_unending_refrain,The Unending Refrain,EA,"Part(""mech_resounding_vault""); Part(""sigil_cadence"")",FireRate(1.1); Damage(1.05),You fire once. The Forge keeps singing it back.
clockwork_heresy,Clockwork Heresy,EA,"Chassis(""pendulum_repeater""); Part(""sigil_second_hand"")",FireRate(1.1); CooldownRate(1.1),Epoch wound a dead god's clock backwards to see what would happen. This happened.
accounts_receivable,Accounts Receivable,EA,"Part(""hexcore""); Part(""relic_ledger_of_sins"")","ApplyStatus(status: Curse, chance: 0.1, stacks: 1, duration: 4.0); Damage(1.05)","Every curse is a line item, and Thessaly always collects."
rose_of_cinders,Rose of Cinders,EA,"Part(""mech_compass_rose""); Part(""relic_pyre_lung"")","ExplodeOnKill(chance: 0.1, radius: 1.5, damage: 0.3); Area(1.1)","Round and round the firework goes. Where it stops, nobody is left to say."
the_shrapnel_gospel,The Shrapnel Gospel,EA,"Part(""shrapnelcore""); Part(""mech_scatterburst"")","Fork(count: 1, angle: 50.0, damage: 0.3); Damage(1.05)","Five pellets, twenty fragments, one very brief sermon."
foundry_rain,Foundry Rain,EA,"Chassis(""gravemaw_mortar""); Part(""slagcore"")",Area(1.15); Knockback(1.2),"The Slag King fell, and it has been raining him ever since."
the_blightburn_accord,The Blightburn Accord,EA,"Part(""plaguecore""); Part(""relic_coal_tongue_brand"")","Puddle(radius: 1.0, duration: 1.5, dps: 0.1, status: Burn); Damage(1.05)",Rot and fire signed a treaty. The horde was not consulted.
the_branching_sky,The Branching Sky,EA,"Part(""squallcore""); Part(""mech_tuning_fork"")","Fork(count: 1, angle: 45.0, damage: 0.5); ProjectileSpeed(1.1)",Lightning never strikes the same place twice. It prefers five places at once.
the_drowning_dark,The Drowning Dark,EA,"Chassis(""tidecaller_harpoon""); Part(""voidcore"")",Area(1.15); Damage(1.1),"The harpoon pulls them in, the well keeps them, and the sea keeps everything."
the_turning_spheres,The Turning Spheres,EA,"Chassis(""orrery_discs""); Part(""mech_ricochet_rosary"")","Ricochet(bounces: 1, range: 6.0); Damage(1.05)","The planets never stop. Neither do the discs. Neither, briefly, does the screaming."
the_mountains_bloom,The Mountain's Bloom,EA,"Chassis(""colossus_cannon""); Part(""mech_compass_rose"")",Area(1.1); Knockback(1.2),Valdris stood in the middle of the horde and simply went off.
the_unbroken_anvil,The Unbroken Anvil,EA,"Part(""relic_anvil_plate""); Part(""sigil_anvilheart"")",MaxShield(20.0); Knockback(1.2),Valdris has been hit by gods. He describes it as a firm handshake.
the_cinder_stampede,The Cinder Stampede,EA,"Part(""relic_cindertread""); Part(""sigil_ghostlight"")",DashRecharge(0.85); MoveSpeed(1.05),Kael dashes to survive. You dash because the floor catches fire and it is funny.
the_wandering_wicks,The Wandering Wicks,EA,"Part(""wickcore""); Part(""mech_carrion_drift"")","Trail(duration: 1.0, dps: 0.1, slow: 0.0); Range(1.1)","They drift and they circle, setting the whole field alight in search of someone to hug."
heavens_battery,Heaven's Battery,P1,"Chassis(""thundercoil_launcher""); Part(""tempestcore"")","ApplyStatus(status: Shock, chance: 0.1, stacks: 1, duration: 2.0); UltCharge(1.1)",Selene stores lightning in the horde and withdraws it with interest.
orbit_of_the_unmade,Orbit of the Unmade,EA,"Element(Void); Part(""mech_razor_halo"")","Orbit(count: 1, radius: 1.5, speed: 1.3, damage: 0.35); CritChance(0.04)",A ring of little voids around you. They are not hungry. They are starving.
morwenns_breath,Morwenn's Breath,EA,"Element(Plague); Part(""mech_titans_exhale"")","Puddle(radius: 1.2, duration: 2.0, dps: 0.1); Damage(1.05)",The sea-goddess sighed once and a coastline died. Your breath is smaller. Slightly.
the_gilded_bastion,The Gilded Bastion,P1,"Element(Radiant); Part(""relic_gilded_aegis"")",MaxShield(20.0); Damage(1.05),"Seraphel's law protects the faithful. The faithful are, in this case, heavily armed."
the_law_of_large_numbers,The Law of Large Numbers,EA,"Part(""mech_scatterburst""); Part(""relic_dying_star"")","ExplodeOnKill(chance: 0.05, radius: 3.0, damage: 0.3); Damage(1.05)","Statistically, one of them was going to explode. Statistically, it was all of them."
twice_cursed,Twice-Cursed,EA,"Part(""relic_hexnail""); Part(""sigil_hexlace"")","DamageVsStatus(status: Curse, mult: 1.15)","Thessaly signed the curse twice, just to be sure. The horde was sure."
the_first_word,The First Word,EA,"Chassis(""sunspike_shotgun""); Part(""relic_opening_verse"")",DamageVsFullHp(1.1); Knockback(1.2),Seraphel calls it an introduction. The horde never gets to reply.
double_or_nothing,Double or Nothing,EA,"Chassis(""coinshooter""); Part(""mech_twin_barrel"")",CritChance(0.05); Damage(1.05),Mirren never gambles. Mirren shoots twice and calls it insurance.
the_narrow_sun,The Narrow Sun,EA,"Chassis(""sunspike_shotgun""); Part(""mech_choke_bore"")",Damage(1.1); Knockback(1.3),"Seven pellets, one hole, no survivors."
the_crows_tithe,The Crows' Tithe,EA,"Part(""mech_carrion_drift""); Part(""relic_reapers_tithe"")",ShardsOnKill(chance: 0.02); Homing(turn_rate: 30.0),The crows always take their share. Mirren is negotiating a commission.
burning_the_candle,Burning the Candle,EA,"Part(""mech_overclock""); Part(""relic_ember_of_ruin"")",FireRate(1.08); Lifesteal(0.02),"At both ends, then the middle, then the candlestick."
the_titanfellers_draw,The Titanfeller's Draw,EA,"Part(""mech_deep_draw""); Part(""relic_headsmans_hood"")",DamageVsElites(1.15); CritChance(0.05),The Last Titan is very large. That is not a problem. That is a target.
the_serpents_thirst,The Serpent's Thirst,EA,"Chassis(""serpent_smg""); Part(""relic_leech_crown"")",Lifesteal(0.02); DamageTaken(0.95),The serpent drinks one sip at a time. It never stops drinking.
the_reddeath_reaction,The Reddeath Reaction,V1,"Part(""vitriolcore""); Part(""relic_reddeath_alembic"")","Area(1.15); ExplodeOnKill(chance: 0.1, radius: 2.0, damage: 0.3)",Vex calls it chemistry. Everyone else calls it the reason the room is gone.
the_pack_remembers,The Pack Remembers,V1,"Chassis(""huntmother_javelins""); Part(""mech_packhunt_volley""); Part(""relic_huntmothers_fang"")",Homing(turn_rate: 40.0); DamageVsElites(1.1),Fenra's pack does not hunt gods. It hunts what the gods were afraid of.
the_last_chorus,The Last Chorus,V1,"Chassis(""chorus_harp""); Part(""mech_chorus_lattice""); Part(""relic_last_chorus_bell"")",FireRate(1.1); Damage(1.05),Lyra sings the final verse of a hymn no god lived to hear.
chaos_theorem,Chaos Theorem,V1,"Part(""unmadecore""); Part(""mech_split_carom"")","Fork(count: 1, angle: 90.0, damage: 0.4); CritChance(0.05)","It split, it bounced, it split again. The Unmaking took notes."
the_heirs_verdict,The Heir's Verdict,V1,"Chassis(""dawnbreaker_carbine""); Part(""verdictcore""); Part(""relic_heirs_oath"")","ApplyStatus(status: Mark, chance: 0.15, stacks: 1, duration: 4.0); Damage(1.05)",Seraph reads the charges. The carbine reads the sentence.
