key,name,category,stat,target,phase,desc
times_up,Time's Up,Story,boss_kills_aeons_remnant,1,EA,Defeat Aeon's Remnant atop the Hollow Spire.
getting_to_know_the_doomed,Getting to Know the Doomed,Story,relationship_arcs_completed,1,EA,Complete a relationship arc in the Godforge.
reforged_a_hundred_times,Reforged a Hundred Times,Story,deaths,100,EA,Die 100 times. The Smithshade stopped counting. Vessa didn't.
found_not_forged,"Found, Not Forged",Challenge,runs_completed_no_forge,1,EA,Complete a run without performing a single anvil action.
the_gods_are_dead_anyway,The Gods Are Dead Anyway,Challenge,runs_completed_no_boons,1,EA,Complete a run without accepting a single boon.
speedrun_to_the_afterlife,Speedrun to the Afterlife,Challenge,deaths_within_60s,1,EA,"Die within 60 seconds of starting a run. Impressive, in its way."
brief_candle,Brief Candle,Challenge,runs_completed_under_15m,1,EA,Complete a run in under 15 minutes.
alone_a_spark,"Alone, a Spark",Challenge,runs_completed_solo,1,EA,Complete a run solo.
it_lives_on_without_you,It Lives On Without You,Collection,echoes_saved,1,EA,Save a weapon as an Echo.
promoted_posthumously,Promoted Posthumously,Collection,echo_max_stars,5,EA,Promote an Echo to five stars.
armory_of_the_dead_gods,Armory of the Dead Gods,Collection,chassis_unlocked,16,EA,Unlock 16 weapon chassis.
dressed_for_the_funeral,Dressed for the Funeral,Collection,alt_skins_unlocked,1,EA,Unlock an alternate skin for any Godforged.
mountain_unmoved,Mountain Unmoved,Mastery,mastery_level_valdris,50,V1,Reach Mastery 50 with Valdris.
heavens_favorite_weapon,Heaven's Favorite Weapon,Mastery,mastery_level_selene,50,V1,Reach Mastery 50 with Selene.
encore_for_the_dead,Encore for the Dead,Mastery,mastery_level_kael,50,V1,Reach Mastery 50 with Kael.
grand_hexmistress_of_the_forge,Grand Hexmistress of the Forge,Mastery,mastery_level_thessaly,50,V1,Reach Mastery 50 with Thessaly.
the_furnace_never_goes_out,The Furnace Never Goes Out,Mastery,mastery_level_brax,50,V1,Reach Mastery 50 with Brax.
every_quarry_remembered,"Every Quarry, Remembered",Mastery,mastery_level_ossian,50,V1,Reach Mastery 50 with Ossian.
stole_the_whole_show,Stole the Whole Show,Mastery,mastery_level_mirren,50,V1,Reach Mastery 50 with Mirren.
all_the_time_in_the_world,All the Time in the World,Mastery,mastery_level_epoch,50,V1,Reach Mastery 50 with Epoch.
whos_a_good_chimera,Who's a Good Chimera?,Mastery,runs_completed_fenra,1,V1,Complete a run as Fenra.
sang_them_to_sleep,Sang Them to Sleep,Mastery,runs_completed_lyra,1,V1,Complete a run as Lyra.
unexploded_ingredients,Unexploded Ingredients,Mastery,runs_completed_vex,1,V1,Complete a run as Vex.
verdict_delivered,Verdict Delivered,Mastery,runs_completed_seraph,1,V1,Complete a run as Seraph.
twelve_graves_no_bodies,"Twelve Graves, No Bodies",Mastery,characters_cleared,12,V1,Complete a run with each of the twelve Godforged.
the_edge_of_everything,The Edge of Everything,Story,unmaking_reached,1,V1,Set foot in the Unmaking.
unmaker_unmade,"Unmaker, Unmade",Story,boss_kills_last_titan,1,V1,Defeat The Last Titan.
what_the_smithshade_wouldnt_say,What the Smithshade Wouldn't Say,Story,true_ending_seen,1,V1,Witness the true ending of the Last Arsenal.
everyone_has_opinions,Everyone Has Opinions,Story,relationship_arcs_completed,50,V1,Complete 50 relationship arcs. Everyone has opinions about everyone.
beyond_the_last_arsenal,Beyond the Last Arsenal,Chaos,chaos_prestige,1,V1,Ascend to Chaos Prestige.
eight_ways_to_break_the_game,Eight Ways to Break the Game,Chaos,chaos_20_characters_cleared,8,V1,Clear Chaos Tier 20 with eight different Godforged.
a_year_of_endings,A Year of Endings,Chaos,weekly_seeds_completed,52,V1,Complete 52 weekly seeded runs.
no_hands_but_mine,No Hands but Mine,Chaos,chaos_tier_cleared_manual,20,V1,Clear Chaos Tier 20 entirely in MANUAL aim mode.
pocket_sized_apocalypse,Pocket-Sized Apocalypse,Co-op,crossplay_runs_completed,1,V1,Complete a cross-play run with Godforged on both PC and mobile.
hands_off_the_apocalypse,Hands Off the Apocalypse,Co-op,runs_completed_all_auto_4p,1,V1,Complete a 4-player run with every player in AUTO aim mode.
four_horsemen_no_horses,"Four Horsemen, No Horses",Co-op,chaos_tier_cleared_4p,20,V1,Clear Chaos Tier 20 with a full party of four.
nobody_dies_today,Nobody Dies Today,Co-op,runs_completed_4p_no_downs,1,V1,Complete a 4-player run without anyone being downed. A first for everyone.
a_million_little_endings,A Million Little Endings,Combat,kills,1000000,V1,"Kill 1,000,000 Unmade."
excessive_force,Excessive Force,Combat,damage_in_one_hit,50000,V1,"Deal 50,000 damage with a single hit."
sixfold_suffering,Sixfold Suffering,Combat,max_statuses_one_enemy,6,V1,"Afflict one enemy with Burn, Shock, Curse, Root, Bleed and Mark at the same time."
gold_standard,Gold Standard,Forge,godforged_parts_forged,500,V1,Forge 500 Godforged-rarity parts.
the_anvil_knows_your_name,The Anvil Knows Your Name,Forge,forge_actions,5000,V1,"Perform 5,000 anvil actions."
every_weapon_the_gods_forgot,Every Weapon the Gods Forgot,Forge,chassis_runs_completed,24,V1,Complete a run with each of the 24 weapon chassis.
nothing_left_unwritten,Nothing Left Unwritten,Codex,codex_completion_pct,100,V1,Complete the entire Codex.
every_duet_of_the_dead,Every Duet of the Dead,Codex,duo_boons_discovered,30,V1,Discover 30 Duo Boons.
arsenal_reassembled,Arsenal Reassembled,Collection,chassis_unlocked,24,V1,Unlock all 24 weapon chassis.
wardrobe_of_the_damned,Wardrobe of the Damned,Collection,alt_skins_unlocked,24,V1,Unlock every alternate skin for all twelve Godforged.
dress_your_ghost,Dress Your Ghost,Collection,echoes_customized,1,V1,Customize the look of an Echo drone.
forge_eternal,Forge Eternal,Collection,forge_level,20,V1,Reach Forge Level 20.
untouched_by_the_end,Untouched by the End,Challenge,last_titan_flawless,1,V1,Defeat The Last Titan without taking damage.
beautiful_madness,Beautiful Madness,Challenge,max_enemies_alive,400,V1,Survive with 400 Unmade on screen at once.
nothing_fancy,Nothing Fancy,Challenge,runs_completed_common_only,1,V1,Complete a run with only Common parts equipped.
