key,name,slot,phase,god,weight,tags,mods,desc
sigil_furnace_heart,Sigil of the Furnace Heart,Sigil,EA,pyra,1.0,sigil; burn,"ApplyStatus(status: Burn, chance: 0.3, stacks: 1, duration: 3.0)",Everything you touch catches.
sigil_iron_knuckle,Sigil of the Iron Knuckle,Sigil,EA,gaiaa,1.0,sigil; knockback,Knockback(1.5); Damage(1.08),Hit them so hard they remember it next run.
sigil_meltpoint,Sigil of Meltpoint,Sigil,EA,pyra,1.0,sigil; burn,"DamageVsStatus(status: Burn, mult: 1.25)",+25% damage to burning enemies.
sigil_huntmark,Sigil of the Huntmark,Sigil,EA,seraphel,1.0,sigil; mark,"ApplyStatus(status: Mark, chance: 0.3, stacks: 1, duration: 5.0)",The hunt-god chooses your quarry.
sigil_far_sight,Sigil of Far Sight,Sigil,EA,seraphel,1.0,sigil; range,Range(1.25); ProjectileSpeed(1.2),See further. Strike sooner.
sigil_patient_death,Sigil of Patient Death,Sigil,EA,aeon,1.0,sigil; opener,DamageVsFullHp(1.35),The first hit is the one that matters.
sigil_gilded_tongue,Sigil of the Gilded Tongue,Sigil,EA,umbra_rex,1.0,sigil; luck,Luck(0.3),Fortune listens when you talk.
sigil_pickpocket,Sigil of the Pickpocket,Sigil,EA,nyctia,1.0,sigil; greed,ShardsOnKill(chance: 0.08),The dead don't need godshards.
sigil_loaded_dice,Sigil of Loaded Dice,Sigil,EA,aeon,1.0,sigil; crit,CritChance(0.1),Fate owes you one.
sigil_borrowed_hour,Sigil of the Borrowed Hour,Sigil,EA,aeon,1.0,sigil; ability,CooldownRate(1.2),Time runs faster for you.
sigil_slow_rot,Sigil of Slow Rot,Sigil,EA,aeon,1.0,sigil; trail,"Trail(duration: 2.0, dps: 0.2, slow: 0.3)",Your shots age the world they pass through.
sigil_second_hand,Sigil of the Second Hand,Sigil,EA,aeon,1.0,sigil; echo,"EchoShot(every: 5, damage: 0.6)",Every 5th shot happens twice.
